title,date,id
Taylor Swift,2006-10-24,ba1d0c2a-bb07-38bc-835c-a880f76f1309
Fearless,2008-11-11,63eba062-847c-3b73-8b0f-6baf27bba6fa
Speak Now,2010-10-25,ba1259eb-d41e-41c5-a70c-0e6fa73e6708
Red,2012-08-10,a73cecde-0923-40ad-aad1-e8c24ba6c3d2
1989,2014-10-24,4d9ec1c2-58ec-48a4-aa0a-916718adead0
reputation,2017-11-10,f060c8fd-bec9-426e-800e-8efc040a71e6
Lover,2019-08-23,30e9785b-7b50-4d29-b3d1-96fb55e3397f
folklore,2020-07-24,f1d08326-c23b-4b43-be3b-20b33ab10bf6
evermore,2020-12-11,e86d6219-f5a2-4edd-bf2b-3f9eab190ae0
Fearless (Taylor’s Version),2021-04-09,d2e4838d-90e1-471c-bda0-fd816dabb2d4
Red (Taylor’s Version),2021-11-11,67727253-f1c0-4243-9270-f9f1401c3b8c
Midnights,2022-10-21,0dcc84fb-c592-46e9-ba92-a52bb44dd553
Speak Now (Taylor’s Version),2023-07-07,0441b1b2-de57-4a9a-b007-1f6e159921d5
1989 (Taylor’s Version),2023-10-27,1c4770b3-b7a3-4d44-a7a9-8e2dbb74b85a
THE TORTURED POETS DEPARTMENT,2024-04-19,71c3eed6-466c-4aef-ad12-65a36d19467a
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,8daa3881-8fbd-49e5-a71b-913171b73ed5
